     36864: /usr/bin/frb2-watchdog
     36864: /usr/lib/libidn2.so.0.3.4
     36864: /usr/lib/libnl-3.so.200.26.0
     36864: /usr/lib/python2.7/site-packages/_dbus_bindings.so
     36864: /usr/lib/python2.7/site-packages/gobject/_gobject.so
     36864: /usr/sbin/smbiosapp
     36864: /usr/sbin/node-manager-proxy
     36864: /usr/sbin/phosphor-fan-monitor
     36864: /lib/libtinfo.so.5.9
     32768: /usr/bin/resolvectl
     32768: /usr/bin/mtd-util
     32768: /usr/lib/libcrypt.so.1.1.0
     32768: /usr/lib/libboost_thread.so.1.68.0
     32768: /usr/lib/python2.7/logging
     32768: /usr/lib/python2.7/site-packages/obmc
     32768: /usr/lib/python2.7/lib-dynload/_ctypes.so
     32768: /usr/lib/python2.7/xml/dom
     32768: /usr/lib/ipmid-providers/libusercmds.so.0.0.0
     32768: /usr/lib/ipmid-providers/libsmbioshandler.so.0.1.0
     32768: /usr/sbin/ipmid
     32768: /usr/sbin/phosphor-softpoweroff
     32768: /lib/libgcc_s.so.1
     32768: /lib/libz.so.1.2.11
     32768: /lib/libpthread-2.28.so
     28672: /usr/bin/lsz
     28672: /usr/bin/gpasswd
     28672: /usr/share/mime/mime.cache
     28672: /usr/share/mime/image
     28672: /usr/lib/python2.7/lib-dynload/datetime.so
     28672: /usr/lib/python2.7/lib-dynload/_codecs_hk.so
     28672: /usr/sbin/useradd
     28672: /usr/sbin/usermod
     28672: /lib/libresolv-2.28.so
     28672: /lib/systemd/system
     24576: /usr/bin/dbus-broker-launch
     24576: /usr/bin/xz.xz
     24576: /usr/bin/dtc
     24576: /usr/bin/lrz
     24576: /usr/share/locale
     24576: /usr/share/locale/en_GB
     24576: /usr/share/locale/en_GB/LC_MESSAGES
     24576: /usr/share/www/app
     24576: /usr/share/www/app/assets
     24576: /usr/share/www/app/assets/images
     24576: /usr/lib/libbz2.so.1.0.6
     24576: /usr/lib/libwritefrudata.so.1.0.0
     24576: /usr/lib/libsdeventplus.so.0.0.0
     24576: /usr/lib/python2.7/tarfile.pyc
     24576: /usr/lib/python2.7/lib-dynload/_ssl.so
     24576: /usr/lib/python2.7/lib-dynload/parser.so
     24576: /usr/lib/python2.7/lib-dynload/cPickle.so
     24576: /usr/sbin/logrotate
     24576: /usr/sbin/avahi-daemon
     24576: /usr/sbin/xtables-multi
     24576: /lib/libnsl-2.28.so
     24576: /lib/systemd/system-generators
     20480: /bin/busybox.suid
     20480: /usr/bin/jtag_test
     20480: /usr/bin/asd
     20480: /usr/share/locale/en_GB/LC_MESSAGES/glib20.mo
     20480: /usr/lib/libkmod.so.2.3.3
     20480: /usr/lib/libboost_iostreams.so.1.68.0
     20480: /usr/lib/python2.7/site-packages/glib
     20480: /usr/lib/python2.7/lib-dynload/_socket.so
     20480: /usr/sbin/smbiosmdrv2app
     20480: /usr/sbin/userdel
     20480: /usr/sbin/newusers
     20480: /usr/sbin/phosphor-fan-control
     20480: /usr/sbin/phosphor-fru-fault-monitor
     20480: /lib/systemd/systemd-timesyncd
     20480: /lib/udev/scsi_id
     16384: /bin/systemd-tmpfiles
     16384: /bin/networkctl
     16384: /bin/mount.util-linux
     16384: /bin/journalctl
     16384: /usr/libexec
     16384: /usr/bin/busctl
     16384: /usr/bin/chage
     16384: /usr/bin/update-mime-database
     16384: /usr/bin/chassis-control
     16384: /usr/libexec/dbus-daemon-launch-helper
     16384: /usr/share/mime/audio
     16384: /usr/lib/libsnmp.so.0.0.0
     16384: /usr/lib/libxtables.so.12.0.0
     16384: /usr/lib/libavahi-common.so.3.5.3
     16384: /usr/lib/libtinyxml2.so.6.0.0
     16384: /usr/lib/libdtovl.so.1
     16384: /usr/lib/libpopt.so.0.0.0
     16384: /usr/lib/python2.7/optparse.pyc
     16384: /usr/lib/python2.7/locale.pyc
     16384: /usr/lib/python2.7/pickletools.pyc
     16384: /usr/lib/python2.7/argparse.pyc
     16384: /usr/lib/python2.7/_pyio.pyc
     16384: /usr/lib/python2.7/cookielib.pyc
     16384: /usr/lib/python2.7/urllib.pyc
     16384: /usr/lib/python2.7/urllib2.pyc
     16384: /usr/lib/python2.7/site-packages/glib/_glib.so
     16384: /usr/lib/python2.7/site-packages/obmc/mapper
     16384: /usr/lib/python2.7/lib-dynload/_elementtree.so
     16384: /usr/lib/python2.7/lib-dynload/array.so
     16384: /usr/lib/python2.7/logging/__init__.pyc
     16384: /usr/lib/python2.7/xml/sax
     16384: /usr/lib/python2.7/xml/dom/minidom.pyc
     16384: /lib/libpam.so.0.84.2
     16384: /lib/systemd/systemd-shutdown
     12288: /bin/systemd-sysusers
     12288: /bin/su.shadow
     12288: /bin/login.shadow
     12288: /usr/bin/passwd.shadow
     12288: /usr/bin/systemd-run
     12288: /usr/bin/systemd-cgtop
     12288: /usr/bin/systemd-mount
     12288: /usr/share/nslcd-utils
     12288: /usr/share/www/redfish/v1/schema/ComputerSystem_v1.xml
     12288: /usr/share/www/app/assets/images/DMTF_Redfish_logo_2017.svg.gz
     12288: /usr/lib/libkrb5support.so.0.1
     12288: /usr/lib/libfastjson.so.4.2.0
     12288: /usr/lib/libboost_coroutine.so.1.68.0
     12288: /usr/lib/libconfig++.so.11.0.2
     12288: /usr/lib/liblber-2.4.so.2.10.9
     12288: /usr/lib/libhistory.so.7.0
     12288: /usr/lib/python2.7/httplib.pyc
     12288: /usr/lib/python2.7/rfc822.pyc
     12288: /usr/lib/python2.7/pickle.pyc
     12288: /usr/lib/python2.7/platform.pyc
     12288: /usr/lib/python2.7/imaplib.pyc
     12288: /usr/lib/python2.7/threading.pyc
     12288: /usr/lib/python2.7/inspect.pyc
     12288: /usr/lib/python2.7/zipfile.pyc
     12288: /usr/lib/python2.7/ctypes
     12288: /usr/lib/python2.7/json
     12288: /usr/lib/python2.7/lib-dynload/itertools.so
     12288: /usr/lib/python2.7/lib-dynload/_json.so
     12288: /usr/lib/python2.7/lib-dynload/math.so
     12288: /usr/lib/python2.7/lib-dynload/cmath.so
     12288: /usr/lib/python2.7/logging/handlers.pyc
     12288: /usr/lib/python2.7/xml/etree
     12288: /usr/sbin/phosphor-timemanager
     12288: /usr/sbin/mtdinfo
     12288: /usr/sbin/phosphor-ledmanager
     12288: /usr/sbin/phosphor-discover-system-state
     12288: /usr/sbin/phosphor-ledcontroller
     12288: /usr/sbin/slpd
     12288: /lib/libuuid.so.1.3.0
     12288: /lib/libnss_files-2.28.so
     12288: /lib/security/pam_unix.so
     12288: /lib/udev/cdrom_id
     12288: /lib/udev/rules.d
     12288: /sbin/sulogin.util-linux
     12288: /sbin/agetty
     12288: /sbin/vipw.shadow
      8192: /usr/include
      8192: /usr/bin/obmc-ikvm
      8192: /usr/bin/timedatectl
      8192: /usr/bin/yat2m
      8192: /usr/bin/chfn.shadow
      8192: /usr/bin/sexp-conv
      8192: /usr/bin/chsh.shadow
      8192: /usr/bin/newgrp.shadow
      8192: /usr/bin/dtoverlay
      8192: /usr/share/entity-manager
      8192: /usr/share/mime/magic
      8192: /usr/share/mime/multipart
      8192: /usr/share/mime/video
      8192: /usr/share/mime/x-content
      8192: /usr/share/entity-manager/configurations
      8192: /usr/share/www/DMTF_Redfish_logo_2017.svg
      8192: /usr/share/www/redfish/v1/schema/Resource_v1.xml
      8192: /usr/share/www/redfish/v1/schema/Memory_v1.xml
      8192: /usr/share/www/redfish/v1/JsonSchemas/ComputerSystem
      8192: /usr/share/www/redfish/v1/JsonSchemas/ComputerSystem/ComputerSystem.json
      8192: /usr/lib/libphosphor_logging.so.1.0.0
      8192: /usr/lib/libfdt.so.1
      8192: /usr/lib/libchassisgpio.so.0.1.0
      8192: /usr/lib/libffi.so.6.0.4
      8192: /usr/lib/libcjson.so.1.7.6
      8192: /usr/lib/xtables/libxt_hashlimit.so
      8192: /usr/lib/python2.7/calendar.pyc
      8192: /usr/lib/python2.7/telnetlib.pyc
      8192: /usr/lib/python2.7/ConfigParser.pyc
      8192: /usr/lib/python2.7/uuid.pyc
      8192: /usr/lib/python2.7/subprocess.pyc
      8192: /usr/lib/python2.7/ssl.pyc
      8192: /usr/lib/python2.7/shutil.pyc
      8192: /usr/lib/python2.7/ftplib.pyc
      8192: /usr/lib/python2.7/codecs.pyc
      8192: /usr/lib/python2.7/smtplib.pyc
      8192: /usr/lib/python2.7/cgi.pyc
      8192: /usr/lib/python2.7/collections.pyc
      8192: /usr/lib/python2.7/random.pyc
      8192: /usr/lib/python2.7/site-packages/dbus/service.py
      8192: /usr/lib/python2.7/site-packages/obmc/utils
      8192: /usr/lib/python2.7/site-packages/obmc/mapper/server.pyc
      8192: /usr/lib/python2.7/lib-dynload/bz2.so
      8192: /usr/lib/python2.7/lib-dynload/_csv.so
      8192: /usr/lib/python2.7/lib-dynload/_collections.so
      8192: /usr/lib/python2.7/lib-dynload/_struct.so
      8192: /usr/lib/python2.7/lib-dynload/_heapq.so
      8192: /usr/lib/python2.7/lib-dynload/_ctypes_test.so
      8192: /usr/lib/python2.7/logging/config.pyc
      8192: /usr/lib/python2.7/email/message.pyc
      8192: /usr/lib/python2.7/xml/etree/ElementTree.pyc
      8192: /usr/lib/python2.7/xml/dom/expatbuilder.pyc
      8192: /usr/lib/ipmid-providers/libzbridgecmd.so.0.1.0
      8192: /usr/lib/rsyslog/imuxsock.so
      8192: /usr/include/python2.7
      8192: /usr/include/python2.7/pyconfig-32.h
      8192: /usr/sbin/snooper
      8192: /usr/sbin/flash_erase
      8192: /usr/sbin/groupmod
      8192: /usr/sbin/phosphor-rsyslog-conf
